fold,layer,lr,dropout,best_epoch,val_macro_f1,val_accuracy,best_train_accuracy
0,12,0.001,0.1,5,0.38,0.45,1.0
0,12,0.001,0.3,9,0.37411764705882355,0.45,1.0
0,12,0.0003,0.1,2,0.3364102564102564,0.4,0.8
0,12,0.0003,0.3,2,0.33333333333333337,0.45,0.8833333333333333
1,3,0.001,0.1,3,0.09230769230769231,0.15,1.0
1,3,0.001,0.3,1,0.10909090909090909,0.15,0.5166666666666667
1,3,0.0003,0.1,3,0.08,0.1,0.9666666666666667
1,3,0.0003,0.3,8,0.06153846153846154,0.1,1.0
2,2,0.001,0.1,5,0.35666666666666663,0.45,1.0
2,2,0.001,0.3,1,0.3254545454545455,0.45,0.38333333333333336
2,2,0.0003,0.1,4,0.18,0.25,0.9833333333333333
2,2,0.0003,0.3,2,0.2333333333333333,0.3,0.85
3,8,0.001,0.1,1,0.1,0.1,0.5
3,8,0.001,0.3,1,0.0,0.0,0.4666666666666667
3,8,0.0003,0.1,1,0.03333333333333333,0.05,0.2833333333333333
3,8,0.0003,0.3,1,0.07777777777777777,0.1,0.23333333333333334
4,7,0.001,0.1,7,0.4768831168831169,0.55,1.0
4,7,0.001,0.3,7,0.4387878787878788,0.5,1.0
4,7,0.0003,0.1,13,0.4623376623376624,0.55,1.0
4,7,0.0003,0.3,10,0.4647619047619048,0.55,1.0
