fold,layer,C,val_accuracy,val_macro_f1
0,0,0.01,0.05,0.06666666666666667
0,0,0.1,0.05,0.06666666666666667
0,0,1.0,0.1,0.11428571428571428
0,0,10.0,0.1,0.11428571428571428
0,1,0.01,0.1,0.10303030303030303
0,1,0.1,0.1,0.08444444444444445
0,1,1.0,0.05,0.04444444444444444
0,1,10.0,0.0,0.0
0,2,0.01,0.35,0.26974358974358975
0,2,0.1,0.25,0.17230769230769233
0,2,1.0,0.25,0.17230769230769233
0,2,10.0,0.25,0.17230769230769233
0,3,0.01,0.35,0.2622222222222222
0,3,0.1,0.35,0.26666666666666666
0,3,1.0,0.35,0.26666666666666666
0,3,10.0,0.35,0.26666666666666666
0,4,0.01,0.3,0.22466422466422467
0,4,0.1,0.3,0.22857142857142856
0,4,1.0,0.3,0.23666666666666666
0,4,10.0,0.3,0.23666666666666666
0,5,0.01,0.3,0.2070588235294118
0,5,0.1,0.3,0.18021978021978022
0,5,1.0,0.3,0.18021978021978022
0,5,10.0,0.35,0.21333333333333332
0,6,0.01,0.3,0.19487179487179487
0,6,0.1,0.3,0.19487179487179487
0,6,1.0,0.3,0.18974358974358974
0,6,10.0,0.3,0.18974358974358974
0,7,0.01,0.35,0.27487179487179486
0,7,0.1,0.35,0.26701298701298704
0,7,1.0,0.35,0.26701298701298704
0,7,10.0,0.3,0.24571428571428572
0,8,0.01,0.4,0.32
0,8,0.1,0.35,0.29333333333333333
0,8,1.0,0.35,0.29333333333333333
0,8,10.0,0.35,0.2813986013986014
0,9,0.01,0.4,0.31238095238095237
0,9,0.1,0.4,0.30564102564102563
0,9,1.0,0.4,0.31216783216783217
0,9,10.0,0.4,0.3033766233766234
0,10,0.01,0.35,0.2753246753246753
0,10,0.1,0.35,0.2827272727272727
0,10,1.0,0.35,0.26910866910866915
0,10,10.0,0.35,0.2602197802197802
0,11,0.01,0.3,0.2253968253968254
0,11,0.1,0.3,0.22333333333333333
0,11,1.0,0.3,0.22333333333333333
0,11,10.0,0.35,0.26666666666666666
0,12,0.01,0.4,0.3542857142857143
0,12,0.1,0.4,0.34974358974358977
0,12,1.0,0.4,0.34974358974358977
0,12,10.0,0.4,0.34984126984126984
1,0,0.01,0.0,0.0
1,0,0.1,0.1,0.13333333333333333
1,0,1.0,0.15,0.17142857142857143
1,0,10.0,0.1,0.13333333333333333
1,1,0.01,0.1,0.1
1,1,0.1,0.2,0.16
1,1,1.0,0.2,0.16
1,1,10.0,0.2,0.14545454545454545
1,2,0.01,0.15,0.12
1,2,0.1,0.2,0.14545454545454545
1,2,1.0,0.2,0.16
1,2,10.0,0.2,0.14545454545454545
1,3,0.01,0.1,0.05714285714285714
1,3,0.1,0.2,0.19047619047619047
1,3,1.0,0.3,0.2571428571428571
1,3,10.0,0.25,0.2111111111111111
1,4,0.01,0.25,0.23076923076923075
1,4,0.1,0.3,0.2571428571428571
1,4,1.0,0.3,0.2571428571428571
1,4,10.0,0.2,0.2
1,5,0.01,0.0,0.0
1,5,0.1,0.05,0.03636363636363636
1,5,1.0,0.15,0.16969696969696968
1,5,10.0,0.2,0.2
1,6,0.01,0.25,0.19636363636363638
1,6,0.1,0.25,0.18545454545454546
1,6,1.0,0.25,0.2
1,6,10.0,0.25,0.17777777777777776
1,7,0.01,0.05,0.03333333333333333
1,7,0.1,0.05,0.03333333333333333
1,7,1.0,0.05,0.03636363636363636
1,7,10.0,0.05,0.03636363636363636
1,8,0.01,0.05,0.03333333333333333
1,8,0.1,0.05,0.03333333333333333
1,8,1.0,0.05,0.03333333333333333
1,8,10.0,0.0,0.0
1,9,0.01,0.0,0.0
1,9,0.1,0.0,0.0
1,9,1.0,0.0,0.0
1,9,10.0,0.0,0.0
1,10,0.01,0.05,0.04
1,10,0.1,0.05,0.04
1,10,1.0,0.05,0.04
1,10,10.0,0.05,0.04
1,11,0.01,0.05,0.03076923076923077
1,11,0.1,0.2,0.2021978021978022
1,11,1.0,0.25,0.23076923076923075
1,11,10.0,0.25,0.2363636363636364
1,12,0.01,0.05,0.04444444444444444
1,12,0.1,0.05,0.04444444444444444
1,12,1.0,0.05,0.04444444444444444
1,12,10.0,0.2,0.19444444444444445
2,0,0.01,0.4,0.33095238095238094
2,0,0.1,0.35,0.2857142857142857
2,0,1.0,0.3,0.2302197802197802
2,0,10.0,0.35,0.30857142857142855
2,1,0.01,0.4,0.34428571428571425
2,1,0.1,0.45,0.37206349206349204
2,1,1.0,0.45,0.37206349206349204
2,1,10.0,0.4,0.34428571428571425
2,2,0.01,0.5,0.41428571428571426
2,2,0.1,0.5,0.41428571428571426
2,2,1.0,0.45,0.37460317460317455
2,2,10.0,0.45,0.4109523809523809
2,3,0.01,0.4,0.2742857142857143
2,3,0.1,0.4,0.26853146853146853
2,3,1.0,0.4,0.26853146853146853
2,3,10.0,0.35,0.24761904761904763
2,4,0.01,0.35,0.26
2,4,0.1,0.35,0.26
2,4,1.0,0.35,0.26
2,4,10.0,0.35,0.26
2,5,0.01,0.35,0.28686868686868683
2,5,0.1,0.35,0.28686868686868683
2,5,1.0,0.3,0.2577777777777778
2,5,10.0,0.3,0.2577777777777778
2,6,0.01,0.4,0.29333333333333333
2,6,0.1,0.35,0.2690909090909091
2,6,1.0,0.35,0.2690909090909091
2,6,10.0,0.35,0.2690909090909091
2,7,0.01,0.45,0.36
2,7,0.1,0.45,0.36
2,7,1.0,0.45,0.36259740259740264
2,7,10.0,0.45,0.36
2,8,0.01,0.35,0.2690909090909091
2,8,0.1,0.4,0.33714285714285713
2,8,1.0,0.45,0.3933333333333333
2,8,10.0,0.3,0.2333333333333333
2,9,0.01,0.35,0.3377777777777778
2,9,0.1,0.35,0.3168831168831169
2,9,1.0,0.3,0.28428571428571425
2,9,10.0,0.25,0.2542857142857143
2,10,0.01,0.4,0.33575757575757575
2,10,0.1,0.4,0.33575757575757575
2,10,1.0,0.4,0.33575757575757575
2,10,10.0,0.35,0.32666666666666666
2,11,0.01,0.35,0.26
2,11,0.1,0.35,0.26
2,11,1.0,0.4,0.33575757575757575
2,11,10.0,0.35,0.3066666666666667
2,12,0.01,0.25,0.2
2,12,0.1,0.25,0.19636363636363638
2,12,1.0,0.25,0.19636363636363638
2,12,10.0,0.25,0.19636363636363638
3,0,0.01,0.0,0.0
3,0,0.1,0.0,0.0
3,0,1.0,0.0,0.0
3,0,10.0,0.0,0.0
3,1,0.01,0.0,0.0
3,1,0.1,0.0,0.0
3,1,1.0,0.05,0.08
3,1,10.0,0.1,0.13333333333333333
3,2,0.01,0.0,0.0
3,2,0.1,0.0,0.0
3,2,1.0,0.0,0.0
3,2,10.0,0.0,0.0
3,3,0.01,0.0,0.0
3,3,0.1,0.0,0.0
3,3,1.0,0.0,0.0
3,3,10.0,0.0,0.0
3,4,0.01,0.0,0.0
3,4,0.1,0.0,0.0
3,4,1.0,0.0,0.0
3,4,10.0,0.0,0.0
3,5,0.01,0.0,0.0
3,5,0.1,0.0,0.0
3,5,1.0,0.0,0.0
3,5,10.0,0.0,0.0
3,6,0.01,0.05,0.026666666666666665
3,6,0.1,0.05,0.02857142857142857
3,6,1.0,0.05,0.03076923076923077
3,6,10.0,0.05,0.03076923076923077
3,7,0.01,0.0,0.0
3,7,0.1,0.0,0.0
3,7,1.0,0.0,0.0
