fold,layer,lr,dropout,best_epoch,val_macro_f1,val_accuracy,best_train_accuracy
0,4,0.001,0.1,6,0.4904761904761904,0.55,1.0
0,4,0.001,0.3,5,0.49230769230769234,0.55,1.0
0,4,0.0003,0.1,7,0.43047619047619057,0.5,1.0
0,4,0.0003,0.3,2,0.55,0.6,0.9166666666666666
1,12,0.001,0.1,3,0.27999999999999997,0.3,1.0
1,12,0.001,0.3,1,0.24444444444444446,0.25,0.55
1,12,0.0003,0.1,2,0.24444444444444446,0.25,0.8
1,12,0.0003,0.3,8,0.24444444444444446,0.25,1.0
2,3,0.001,0.1,1,0.4253968253968254,0.5,0.5166666666666667
2,3,0.001,0.3,2,0.4177777777777777,0.5,0.9333333333333333
2,3,0.0003,0.1,3,0.44111111111111106,0.5,0.95
2,3,0.0003,0.3,7,0.34181818181818185,0.45,1.0
3,8,0.001,0.1,1,0.21333333333333332,0.25,0.5
3,8,0.001,0.3,3,0.29333333333333333,0.3,1.0
3,8,0.0003,0.1,11,0.2577777777777778,0.25,1.0
3,8,0.0003,0.3,1,0.35974025974025975,0.4,0.3
4,7,0.001,0.1,5,0.45714285714285713,0.5,1.0
4,7,0.001,0.3,3,0.43434343434343436,0.5,1.0
4,7,0.0003,0.1,5,0.46545454545454545,0.55,1.0
4,7,0.0003,0.3,9,0.4787878787878788,0.6,1.0
