fold,layer,C,val_accuracy,val_macro_f1
0,0,0.01,0.3,0.2333333333333333
0,0,0.1,0.3,0.2333333333333333
0,0,1.0,0.3,0.22525252525252526
0,0,10.0,0.25,0.15666666666666668
0,1,0.01,0.25,0.1914085914085914
0,1,0.1,0.25,0.1914085914085914
0,1,1.0,0.2,0.15153846153846154
0,1,10.0,0.25,0.18581418581418582
0,2,0.01,0.5,0.39434343434343433
0,2,0.1,0.5,0.39434343434343433
0,2,1.0,0.5,0.3933333333333333
0,2,10.0,0.4,0.3143434343434343
0,3,0.01,0.45,0.3433333333333334
0,3,0.1,0.45,0.3433333333333334
0,3,1.0,0.45,0.3402197802197803
0,3,10.0,0.45,0.35545454545454547
0,4,0.01,0.5,0.45714285714285713
0,4,0.1,0.4,0.3555555555555555
0,4,1.0,0.45,0.37777777777777777
0,4,10.0,0.4,0.3687301587301587
0,5,0.01,0.4,0.38206349206349205
0,5,0.1,0.4,0.38206349206349205
0,5,1.0,0.35,0.3288888888888889
0,5,10.0,0.3,0.23434343434343435
0,6,0.01,0.35,0.33999999999999997
0,6,0.1,0.35,0.33999999999999997
0,6,1.0,0.4,0.37333333333333335
0,6,10.0,0.35,0.31777777777777777
0,7,0.01,0.45,0.43809523809523804
0,7,0.1,0.45,0.43809523809523804
0,7,1.0,0.45,0.43809523809523804
0,7,10.0,0.45,0.43809523809523804
0,8,0.01,0.45,0.43701298701298696
0,8,0.1,0.45,0.43701298701298696
0,8,1.0,0.45,0.43701298701298696
0,8,10.0,0.4,0.3833333333333333
0,9,0.01,0.45,0.41939393939393943
0,9,0.1,0.4,0.3838383838383838
0,9,1.0,0.4,0.3566666666666667
0,9,10.0,0.4,0.3566666666666667
0,10,0.01,0.3,0.26666666666666666
0,10,0.1,0.3,0.24888888888888888
0,10,1.0,0.3,0.24888888888888888
0,10,10.0,0.35,0.28525252525252526
0,11,0.01,0.35,0.2827272727272727
0,11,0.1,0.3,0.22777777777777777
0,11,1.0,0.3,0.22777777777777777
0,11,10.0,0.35,0.261965811965812
0,12,0.01,0.3,0.2463636363636364
0,12,0.1,0.3,0.2408080808080808
0,12,1.0,0.3,0.2408080808080808
0,12,10.0,0.3,0.23181818181818184
1,0,0.01,0.1,0.13333333333333333
1,0,0.1,0.15,0.17142857142857143
1,0,1.0,0.2,0.2
1,0,10.0,0.2,0.2
1,1,0.01,0.15,0.17142857142857143
1,1,0.1,0.2,0.2
1,1,1.0,0.2,0.2
1,1,10.0,0.2,0.2
1,2,0.01,0.2,0.2
1,2,0.1,0.2,0.2
1,2,1.0,0.2,0.2
1,2,10.0,0.2,0.2
1,3,0.01,0.2,0.2
1,3,0.1,0.2,0.2
1,3,1.0,0.2,0.2
1,3,10.0,0.2,0.2
1,4,0.01,0.2,0.2
1,4,0.1,0.2,0.2
1,4,1.0,0.2,0.2
1,4,10.0,0.2,0.16
1,5,0.01,0.2,0.2
1,5,0.1,0.25,0.23076923076923075
1,5,1.0,0.25,0.23076923076923075
1,5,10.0,0.25,0.23076923076923075
1,6,0.01,0.2,0.17777777777777776
1,6,0.1,0.2,0.17777777777777776
1,6,1.0,0.2,0.17777777777777776
1,6,10.0,0.2,0.17777777777777776
1,7,0.01,0.15,0.17142857142857143
1,7,0.1,0.15,0.17142857142857143
1,7,1.0,0.15,0.17142857142857143
1,7,10.0,0.2,0.2
1,8,0.01,0.15,0.1641025641025641
1,8,0.1,0.15,0.1641025641025641
1,8,1.0,0.15,0.1641025641025641
1,8,10.0,0.1,0.13333333333333333
1,9,0.01,0.05,0.03636363636363636
1,9,0.1,0.05,0.03636363636363636
1,9,1.0,0.1,0.06666666666666667
1,9,10.0,0.05,0.04444444444444444
1,10,0.01,0.1,0.07272727272727272
1,10,0.1,0.1,0.07272727272727272
1,10,1.0,0.1,0.06666666666666667
1,10,10.0,0.1,0.08
1,11,0.01,0.1,0.13333333333333333
1,11,0.1,0.2,0.21587301587301586
1,11,1.0,0.15,0.16969696969696968
1,11,10.0,0.2,0.2
1,12,0.01,0.1,0.12444444444444444
1,12,0.1,0.1,0.12444444444444444
1,12,1.0,0.1,0.12444444444444444
1,12,10.0,0.25,0.24444444444444446
2,0,0.01,0.3,0.21818181818181817
2,0,0.1,0.35,0.2523076923076923
2,0,1.0,0.35,0.2523076923076923
2,0,10.0,0.35,0.2634920634920635
2,1,0.01,0.4,0.2830769230769231
2,1,0.1,0.4,0.2830769230769231
2,1,1.0,0.4,0.2830769230769231
2,1,10.0,0.4,0.2742857142857143
2,2,0.01,0.3,0.21818181818181817
2,2,0.1,0.3,0.21818181818181817
2,2,1.0,0.3,0.21818181818181817
2,2,10.0,0.35,0.26989898989898997
2,3,0.01,0.6,0.4685314685314685
2,3,0.1,0.65,0.5587878787878788
2,3,1.0,0.65,0.5630769230769231
2,3,10.0,0.6,0.509090909090909
2,4,0.01,0.55,0.4232323232323232
2,4,0.1,0.55,0.4232323232323232
